"category","height","n_clusters"
"biodiversidad",0.708216930936829,2
"biodiversidad",0.716648084876553,2
"biodiversidad",0.725079238816278,2
"biodiversidad",0.733510392756002,2
"biodiversidad",0.741941546695726,2
"biodiversidad",0.75037270063545,2
"biodiversidad",0.758803854575174,2
"biodiversidad",0.767235008514898,2
"biodiversidad",0.775666162454622,2
"biodiversidad",0.784097316394347,2
"biodiversidad",0.792528470334071,2
"biodiversidad",0.800959624273795,2
"biodiversidad",0.809390778213519,2
"biodiversidad",0.817821932153243,2
"biodiversidad",0.826253086092968,2
"biodiversidad",0.834684240032692,1
"clima",0,23
"clima",0.00681539839402198,22
"clima",0.013630796788044,22
"clima",0.0204461951820659,21
"clima",0.0272615935760879,21
"clima",0.0340769919701099,20
"clima",0.0408923903641319,20
"clima",0.0477077887581538,17
"clima",0.0545231871521758,16
"clima",0.0613385855461978,15
"clima",0.0681539839402198,15
"clima",0.0749693823342417,12
"clima",0.0817847807282637,12
"clima",0.0886001791222857,12
"clima",0.0954155775163077,11
"clima",0.10223097591033,11
"clima",0.109046374304352,11
"clima",0.115861772698374,11
"clima",0.122677171092396,8
"clima",0.129492569486418,8
"clima",0.13630796788044,8
"clima",0.143123366274461,8
"clima",0.149938764668483,8
"clima",0.156754163062505,7
"clima",0.163569561456527,6
"clima",0.170384959850549,6
"clima",0.177200358244571,6
"clima",0.184015756638593,6
"clima",0.190831155032615,6
"clima",0.197646553426637,6
"clima",0.204461951820659,6
"clima",0.211277350214681,5
"clima",0.218092748608703,4
"clima",0.224908147002725,4
"clima",0.231723545396747,4
"clima",0.238538943790769,4
"clima",0.245354342184791,4
"clima",0.252169740578813,4
"clima",0.258985138972835,4
"clima",0.265800537366857,4
"clima",0.272615935760879,4
"clima",0.279431334154901,4
"clima",0.286246732548923,4
"clima",0.293062130942945,4
"clima",0.299877529336967,4
"clima",0.306692927730989,4
"clima",0.313508326125011,4
"clima",0.320323724519033,4
"clima",0.327139122913055,4
"clima",0.333954521307077,4
"clima",0.340769919701099,4
"clima",0.347585318095121,4
"clima",0.354400716489143,4
"clima",0.361216114883165,4
"clima",0.368031513277187,4
"clima",0.374846911671209,4
"clima",0.381662310065231,4
"clima",0.388477708459253,4
"clima",0.395293106853275,4
"clima",0.402108505247297,4
"clima",0.408923903641319,4
"clima",0.415739302035341,4
"clima",0.422554700429362,4
"clima",0.429370098823385,4
"clima",0.436185497217406,4
"clima",0.443000895611428,4
"clima",0.44981629400545,3
"clima",0.456631692399472,3
"clima",0.463447090793494,2
"clima",0.470262489187516,2
"clima",0.477077887581538,2
"clima",0.48389328597556,2
"clima",0.490708684369582,2
"clima",0.497524082763604,2
"clima",0.504339481157626,2
"clima",0.511154879551648,2
"clima",0.51797027794567,2
"clima",0.524785676339692,2
"clima",0.531601074733714,2
"clima",0.538416473127736,2
"clima",0.545231871521758,2
"clima",0.55204726991578,2
"clima",0.558862668309802,2
"clima",0.565678066703824,2
"clima",0.572493465097846,2
"clima",0.579308863491868,2
"clima",0.58612426188589,2
"clima",0.592939660279912,2
"clima",0.599755058673934,2
"clima",0.606570457067956,2
"clima",0.613385855461978,2
"clima",0.620201253856,2
"clima",0.627016652250022,2
"clima",0.633832050644044,2
"clima",0.640647449038066,2
"clima",0.647462847432088,2
"clima",0.65427824582611,2
"clima",0.661093644220132,2
"clima",0.667909042614154,2
"clima",0.674724441008176,1
